Old,New
HCL-HP,HCL-INSYS
HYDRBADIND,HIL
INVSTSMART,HINVDIR
HINDSANIT,HSIL
MYSORECEM,HEIDELBERG
HEROHONDA,HEROMOTOCO
HCIL,HSCL
HINDALC0,HINDALCO
ENNOREFO,HINDUJAFO
HGSL,HGS
HINDUJAFIN,HTMT
HINDUJATMT,NXTDIGITAL
HINDCONS,HCC
HINDLEVER,HINDUNILVR
HITECHPLAS,HITECHCORP
SHRMHONDA,HONDAPOWER
TATAHONEY,HONAUT
ACKRUTI,HUBTOWN
GOLDIWIN,ICICIGOLD
IPRU8112,IPRU8122
MIDCAPIWIN,ICICIMCAP
BHARATIWIN,ICICIB22
NV20IWIN,ICICINV20
NIF100IWIN,ICICINF100
NIFTYIWIN,ICICINIFTY
LOWVOLIWIN,ICICILOVOL
SENSEXIWIN,ICICISENSX
IGPETRO,IGPL
INDIAINFO,IIFL
MAYTASINFR,IL&FSENGG
ILFSTRANS,IL&FSTRANS
STYABS,INEOSSTYRO
VYSYABANK,INGVYSYABK
IOLB,IOLN
TRAFALHSE,ITDCEM
IVRPRIME,IVRCLAH
LOGIXMICRO,IZMO
CGIGARSH,IGARASHI
INDBANKMER,INDBANK
IIISL,IIFLFIN
SORILHOLD,IBULISL
IBSEC,IBVENTURES
INDOCOUNT,ICIL
TATAPRESS,TATAINFO
INFOSYSTCH,INFY
IILTD,INSECTICID
APPAPER,ANDHRAPAP
RELIGAREGO,IVZINGOLD
RELGRNIFTY,IVZINNIFTY
RIMFAI1BDG,IVZINA1BDG
RIMFAI1BRG,IVZINA1BRG
JBMAUTOCOM,JBMA
JAYSYNTDYE,JDORGO
JINDALSWHL,JSWHL
ISPATIND,JSWISPAT
JSWSTL,JSWSTEEL
BALASPONGE,JAIBALAJI
JPHYDRO,JPPOWER
NAGPURENG,JAYNECOIND
SAWPIPES,JINDALSAW
JSTAINLESS,JSL
HITACHIHOM,JCHAC
SONASTEER,JTEKTINDIA
VAMORGANIC,JUBILANT
KSERAPRO,KSERASERA
KALYANISTL,KALSTEELS
KIL,KAMDHENU
GOODLASNER,KANSAINER
KNL,KGL
KESARENTER,KESARENT
KINHONDA,KINETICMOT
AIRDECCAN,KFA
KIRIDYES,KIRIINDUS
KIRELECTRI,KECL
SATNAMOVER,KOHINOOR
CAMLIN,KOKUYOCMLN
KOTAKMAH,KOTAKBANK
KTKNV20ETF,KOTAKNV20
FIFMPS6FG,LTFMPS6FG
FIFMPS6EG,LTFMPS6EG
FIFMPS6ED,LTFMPS6ED
LLOYDELENG,LEEL
LICNFENGP,LICNETFN50
LICNMFET,LICNETFGSC
LICNFESGP,LICNETFSEN
BOC,LINDEINDIA
PARRYSCON,LOTTEINDIA
MMFORGINGS,MMFL
MACMILLAN,MPSLTD
MANALU,MAANALU
COATVIYELA,MADURACOAT
MAHINDFORG,MAHINDCIE
GESCOCORP,MAHLIFE
MANALUMN,MANINDS
MARICOIND,MARICO
TASCPHARMA,MARKSANS
MAX,MFSL
MLL,MERCATOR
EMERCK,PGHL
AHMEDFORGE,METALFORGE
CRONIMET,METKORE
HINDINKS,MICRO
MIRZATAN,MIRZAINT
MOHOTAMILL,MOHOTAIND
MPHASISBFL,MPHASIS
NAGAAGRI,NACLIND
NAGARCONST,NCC
NEYVELILIG,NLCINDIA
NAGREKAEXP,NAGREEKA
NAHARINVST,NAHARPOLY
JSTRIPS,NSIL
NANDANEXIM,NDL
NAVBARFERO,NBVENTURES
NAVNETPUBL,NAVNETEDUL
NET4INDIA,NET4
KRAFTIND,NETVISTAIT
SUJANATWR,NTL
MID-DAY,NEXTMEDIA
NILKAMPLST,NILKAMAL
MVLIND,NOESISIND
PRESSMAN,NUCENTFIN
ORISSACEM,OCL
OBEROIREAL,OBEROIRLTY
I-FLEX,OFSS
ORCHIDCHEM,ORCHIDPHAR
ORIENTCERA,ORIENTBELL
OTL,ORIENTALTL
PREMAUTOEL,PAEL
PILIND,PILITA
PSLHOLD,PSL
SOFTSOLINT,PVP
SEINV,PAISALO
FOURSOFT,PALRED
MTAL,PAVCI
GMRINDS,PARRYSUGAR
HOPFL,PGIL
MORAREALTY,PENINLAND
ABBOTTLAB,PHARMACIA
HALONIX,PHOENIXLL
PIRHEALTH,PEL
GUJGLASS,PIRGLASS
PIRLIFE,PIRPHYTO
PITTILAM,PITTIENG
PRECOTMILL,PRECOT
PREMAUTO,PREMIER
NUCENT,PRESSMN
PREMINSTR,PRICOL
PRISMCEM,PRSMJOHNSN
P&G,PGHH
PROZONECSC,PROZONINTU
SOFFIASOFT,QUINTEGRA
RPGTELECOM,RPGCABLES
SAELTD,RPGTLTD
RAJASSPG,RSWM
RAINCOM,RAIN
RANEMADRAS,RANEHOLDIN
IBIPL,RTNINFRA
IBPOW,RTNPOWER
RMEDIA,RBN
RCVL,RCOM
REL,RELINFRA
ADLABSFILM,RELMEDIA
RDEL,RNAVAL
RATNABLDG,ROOFITIND
SBIGETS,SETFGOLD
SETFNIFTY,SETFNIF50
SETFBANK,SETFNIFBK
SETFNIFJR,SETFNN50
SCHENHERD,SIGROUPIND
SUTLEJINDS,SILINV
SKFBEARING,SKFINDIA
HORIZONINF,SKIL
SWARAJMAZD,SMLISUZU
STOREONE,SORILINFRA
SUBHASPROJ,SPMLINFRA
THINKSOFT,EXPLEOSOL
SREINTFIN,SREINFRA
SHIV-VANI,SVOGL
SAGARCEM,SAGCEM
PERLENGINF,SAMBHAAV
AVENTIS,SANOFI
GRAMOPHONE,SAREGAMA
MICROSEC,SASTASUNDR
SATHVANISP,SATHAISPAT
SAVITACHEM,SOTL
FAGBEARING,SCHAEFFLER
PEERLESHIP,SEAMECLTD
SEJALGLASS,SEZALGLASS
SHALMPAINT,SHALPAINTS
SHASUNCHEM,SHASUNPHAR
AGEEGOLD,SHIRPUR-G
ANAMALFIN,SHIVTEX
SHREYASHIP,SHREYAS
ASTERSILI,SHRIASTER
SIMPLEXCON,SIMPLEXINF
SITICABLE,SITINET
SIYARSILK,SIYSIL
D-LINK,SMARTLINK
SOLAREX,SOLARINDS
SPLLTD,SOMANYCERA
SBNOV23,SGBNOV23
SPENTXIND,SPENTEX
SMOBILITY,DIGISPICE
SHAKTIGAS,HAVISHA
LANCOIN,SRIPIPES
SENTINEL,STEL
STERLINTEA,STERLINBIO
STROPTICAL,STRTECH
KECINFRA,SUMMIT
SUNFLAGIRN,SUNFLAG
SUPREMYARN,SUPREMETEX
SURANAVEL,SURANASOL
SURANATELE,SURANAT&P
NUMERICPW,SWELECTES
BHAGWATIHO,TGBHOTELS
IBN18,TV18BRDCST
TVS-SUZUKI,TVSMOTOR
SRICHAKTYR,TVSSRICHAK
ROMAN,TARMAT
CONSCOFFEE,TATACOFFEE
VSNL,TATACOMM
TATATEA,TATACONSUM
INVESTCORP,TATAINVEST
TELCO,TATAMOTORS
IPITATASPO,TATASTLLP
TISCO,TATASTEEL
TATATELSER,TTML
NATHSEED,TECHIN
TEXMACOLTD,TEXINFRA
MADRASALMN,MALCO
MADRASCEM,RAMCOCEM
TATATIMKEN,TIMKEN
FORGE,TIRUPATIFL
AHMEDELEC,TORRENTAEC
SURATELEC,TORRENTSEC
LAKME,TRENT
ABSHEKINDS,TRIDENT
LEADEDSYS,TRIGYN
FLEX,UFLEX
UNIPHOS,UPL
MBSWITCH,UJAAS
UMITL,UMESL
USHABEL,USHAMART
LLOYDSTEEL,UTTAMVALUE
VISHALRET,V2RETAIL
VATECH,WABAG
MAXWELL,VIPCLOTHNG
VIJAYTEX,VTXIND
VAIBHAVGEM,VAIBHAVGBL
VAKRANSOFT,VAKRANGEE
VDOCONAPPL,VALUEIND
VSGML,VHL
MAHAVIRSPG,VTL
BABABUSERV,VATSMUSC
SSLT,VEDL
WESTHATCH,VENKEYS
VDOLEASE,VIDEOIND
VIDHIDYE,VIDHIING
VIKASGLOB,VIKASECO
WSIND,WSI
WABCO-TVS,WABCOINDIA
WARTDEISEL,WARTSILA
WELGUJ,WELCORP
WELPROJ,WELENT
WENDTINDIA,WENDT
DGPWINDSOR,WINDSOR
SURAJDIAMN,WINSOMEDJ
BAJAJPLAST,WOPOLIN
WYETHLEDE,WYETH
XLTELENE,XLENERGY
CAMBRIDGE,XCHANGING
ZANDUPHARM,ZANDUREALT
ZEETELE,ZEEL
ZEENEWS,ZEEMEDIA
FUJITSICIM,ZENSARTECH
ZUARIAGRO,ZUARIGLOB
CITICORSEC,E-SERVEINT
MASCOT,IGS
PDUMJEAGRO,3PLAND
TATATELECM,AGCNET
IT&T,AXISCADES
ABANLLOYD,ABAN
BIHARCAUST,ABCIL
COLORCHIPS,ADROITINFO
ANSALPROP,ANSALAPI
COREBIO,AUSOMENT
SEARLEIND,BRABOURNE
CHOLAINV,CHOLAFIN
SHARYANRES,CREST
FVIL,FCONSUMER
PRETAILDVR,FELDVR
PANTALOONR,FEL
APIL,GEPIL
AREVAT&D,GET&D
GEOJIT,GEOJITFSL
GUJAPOLEQP,GUJAPOLLO
HIMADCHEM,HSCL
HTMTGLOBAL,HGS
AKRUTI,HUBTOWN
IGOLD,ICICIGOLD
IMIDCAP,ICICIMCAP
INV20,ICICINV20
ICNX100,ICICINF100
INIFTY,ICICINIFTY
ISENSEX,ICICISENSX
INEABS,INEOSSTYRO
IBWSL,IBULISL
AMTREXAPPL,JCHAC
IOL,LINDEINDIA
GMRFER,METKORE
RAIREKMOH,MOHOTAIND
BFLSOFTWAR,MPHASIS
NAHAREXPOT,NAHARPOLY
MEDIA,NOESISIND
MORARJESPG,PENINLAND
PHOENIXLMP,PHOENIXLL
NICOLASPIR,PEL
PROZONE,PROZONINTU
PRIYADCEM,RAIN
BSES,RELINFRA
PIPAVAVDOC,RNAVAL
HERDILCHEM,SIGROUPIND
HORIZONBAT,SKIL
IBRETAILS,SORILINFRA
HOECHST,SANOFI
FAGPRECISN,SCHAEFFLER
WWIL,SITINET
GBNOV23,SGBNOV23
SPICEMOBIL,DIGISPICE
LANCOIND,SRIPIPES
KECINTL,SUMMIT
GBN,TV18BRDCST
HUGHESTELE,TTML
SESAGOA,VEDL
MSKPROJ,WELENT
XLTL,XLENERGY
SCANDENT,XCHANGING
ARHAMFISCL,ADROITINFO
ABBALPO,GEPIL
AREVA,GET&D
IPGETF,ICICIGOLD
ICCNX100,ICICINF100
NIFETF,ICICINIFTY
SPICE,ICICISENSX
LANABS,INEOSSTYRO
PIPAVAVYD,RNAVAL
PIRAMYDRET,SORILINFRA
GECALSTHOM,GET&D
ABSIND,INEOSSTYRO
GOLDINFRA,OLECTRA
GREENFIRE,PROSEED
FORTUNEFIN,THEINVEST
GARWALLROP,GARFIBRES
RDAXEDG,NDAXEDG
RDAXEDD,NDAXEDD
RDAXEDDG,NDAXEDDG
RDAXEDDD,NDAXEDDD
IPAPPM,ANDHRAPAP
ANDPAPER,ANDHRAPAP
AVONMPL,AVROIND
KPIT,BSOFT
BOROSIL,BORORENEW
SKML,BABAFOOD
BAJAJCORP,BAJAJCON
LYCOS,BCG
TIFIN,CHOLAHLDNG
DPL,DVL
SPICEMOBI,DIGISPICE
WEIZFOREX,EBIXFOREX
EMAMIINFRA,EMAMIREAL
SQSBFSI,EXPLEOSOL
BAJAJTEMPO,FORCEMOT
MIL,GBGLOBAL
GUJFLUORO,GFLLIMITED
HOTELEELA,HLVLTD
IPRU5008,ICICIBANKN
IDFCBANK,IDFCFIRSTB
ADLABS,IMAGICAA
AFL,INSPIRISYS
WIDIA,KENNAMET
KEYCORPSER,KEYFINSERV
KSBPUMPS,KSB
RELCONS,NETFCONSUM
RELDIVOPP,NETFDIVOPP
RRSLGETF,NETFLTGILT
RELCNX100,NETFNIF100
RETFMID150,NETFMID150
RELNV20,NETFNV20
RDAIIIADG,NDAIIIADG
RDAIIIARD,NDAIIIARD
RDAIIIARG,NDAIIIARG
RDAIXDDD,NDAIXDDD
RDAIXDDG,NDAIXDDG
RDAIXDD,NDAIXDD
RDAIXDG,NDAIXDG
RDAIXEDDD,NDAIXEDDD
RDAIXEDDG,NDAIXEDDG
RDAIXEDD,NDAIXEDD
RDAIXEDG,NDAIXEDG
RDAIXFDDD,NDAIXFDDD
RDAIXFDDG,NDAIXFDDG
RDAIXFDD,NDAIXFDD
RDAIXFDG,NDAIXFDG
RDAVIIPCDG,NDAVIIPCDG
RDAVIIPDDD,NDAVIIPDDD
RDAVIIPDDG,NDAVIIPDDG
RDAVIIPDD,NDAVIIPDD
RDAVIIPDG,NDAVIIPDG
RDAFVIIICX,NDAFVIIICX
RDAFVIIICD,NDAFVIIICD
RDAXADDD,NDAXADDD
RDAXADDG,NDAXADDG
RDAXADD,NDAXADD
RDAXADG,NDAXADG
RDAXDDDD,NDAXDDDD
RDAXDDDG,NDAXDDDG
RDAXDDD,NDAXDDD
RDAXDDG,NDAXDDG
RDAFTVCDG,NDAFTVCDG
RDAFTFVCD,NDAFTFVCD
RDAFTFVCG,NDAFTFVCG
RDAXICDDD,NDAXICDDD
RDAXICDDG,NDAXICDDG
RDAXICDD,NDAXICDD
RDAXICDG,NDAXICDG
RMFINAIDR1,NMFINAIDR1
RMFINQADP1,NMFINQADP1
RMFINQRAG1,NMFINQRAG1
RDAXBDG,NDAXBDG
RDAXBDD,NDAXBDD
RDAXBDDD,NDAXBDDD
RDAXCDG,NDAXCDG
RDAXCDD,NDAXCDD
RDAXBDDG,NDAXBDDG
RDAXCDDG,NDAXCDDG
RDAXCDDD,NDAXCDDD
RDAFTFIVCD,NDAFTFIVCD
RDAFTIVCDD,NDAFTIVCDD
RDAFTIVCDG,NDAFTIVCDG
RDAFTFIVCG,NDAFTFIVCG
RDAFTIIPGD,NDAFTIIPGD
RDAFTIIPGG,NDAFTIIPGG
RDAXIADG,NDAXIADG
RDAXIDDDD,NDAXIDDDD
RDAXIDDDG,NDAXIDDDG
RDAXIDDG,NDAXIDDG
RDAXIIADDD,NDAXIIADDD
RDAFDVHDR,NDAFDVHDR
RDAFDVHGR,NDAFDVHGR
RDAFTVHDR,NDAFTVHDR
RDAFTVHGR,NDAFTVHGR
RDAXIADDD,NDAXIADDD
RDAXIADDG,NDAXIADDG
RDAXIADD,NDAXIADD
RDAXFDDD,NDAXFDDD
RDAXFDD,NDAXFDD
RDAXIEDG,NDAXIEDG
RDAXIDDD,NDAXIDDD
RDAXIBDD,NDAXIBDD
RDAXIBDDG,NDAXIBDDG
RDAXIIADDG,NDAXIIADDG
RDAXIIADD,NDAXIIADD
RDAXIIADG,NDAXIIADG
RDAXFDG,NDAXFDG
RDAXFDDG,NDAXFDDG
RDAFVGDG,NDAFVGDG
RDAFVGDD,NDAFVGDD
RDAFVGDO,NDAFVGDO
RDAFVGGO,NDAFVGGO
RDAXIEDDG,NDAXIEDDG
RDAXIEDDD,NDAXIEDDD
RDAXIEDD,NDAXIEDD
RMFINQIDP1,NMFINQIDP1
RDAXIBDG,NDAXIBDG
RDAXIBDDD,NDAXIBDDD
RMFINARDR1,NMFINARDR1
RMFINQRDP1,NMFINQRDP1
HINDUJAVEN,NXTDIGITAL
RNAM,NAM-INDIA
DPRMDAD1,PGIMDAD1G
DPRMDAD3,PGIMDAD3D
DPRMDAD2,PGIMDAD2D
DPRMDAAD,PGIMDAADD
DPRMDAGP,PGIMDAGPG
DPRMDAQD,PGIMDAQDD
DPRMDADP,PGIMDADPD
PRM1SD1,PGIM1SD1G
PRM1SDP,PGIM1SDPD
PRM1SGP,PGIM1SGPG
DPRMAAD1,PGIMAAD1G
DPRMAAD3,PGIMAAD3D
DPRMAAAD,PGIMAAADD
DPRMAAGP,PGIMAAGPG
DPRMAAQD,PGIMAAQDD
DPRMABD1,PGIMABD1G
DPRMABAD,PGIMABADD
DPRMABGP,PGIMABGPG
DPRMABQD,PGIMABQDD
DPRMABDP,PGIMABDPD
DPRMACD4,PGIMACD4D
DPRMACD1,PGIMACD1G
DPRMACD2,PGIMACD2D
DPRMACAD,PGIMACADD
DPRMACGP,PGIMACGPG
DPRMACQD,PGIMACQDD
DPRMACDP,PGIMACDPD
DPRMAED4,PGIMAED4D
DPRMAED1,PGIMAED1G
DPRMAEAD,PGIMAEADD
DPRMAEGP,PGIMAEGPG
DPRMAEDP,PGIMAEDPD
DPRMFAD4,PGIMFAD4D
DPRMFAD1,PGIMFAD1G
DPRMFAAD,PGIMFAADD
DPRMFAGP,PGIMFAGPG
DPRMFAQD,PGIMFAQDD
DPRMAGD1,PGIMAGD1G
DPRMAGGP,PGIMAGGPG
DPRMAHD4,PGIMAHD4D
DPRMAHD1,PGIMAHD1G
DPRMAHD3,PGIMAHD3D
DPRMAHAD,PGIMAHADD
DPRMAHGP,PGIMAHGPG
DPRMAHQD,PGIMAHQDD
DPRMAPD1G,PGIMAPD1G
DPRMAPGPG,PGIMAPGPG
DPRMAPDPD,PGIMAPDPD
DPRMAQD1G,PGIMAQD1G
DPRMAQD2D,PGIMAQD2D
DPRMAQGPG,PGIMAQGPG
DPRMARD1G,PGIMRAD1G
DPRMARGPG,PGIMRAGPG
DPRMARQDD,PGIMRAQDD
DPRMARDPD,PGIMRADPD
DPRMATD1G,PGIMATD1G
DPRMATGPG,PGIMATGPG
DPRMATQDD,PGIMATQDD
DPRMATDPD,PGIMATDPD
DPRMAUD1G,PGIMAUD1G
DPRMAUGPG,PGIMAUGPG
DPRMAUQDD,PGIMAUQDD
DPRMAUDPD,PGIMAUDPD
DPRMAYD1G,PGIMAYD1G
DPRMAYGPG,PGIMAYGPG
DPRMAZD1G,PGIMAZD1G
DPRMAZGPG,PGIMAZGPG
DPRMAZDPD,PGIMAZDPD
DPRMBAD1G,PGIMBAD1G
DPRMBAGPG,PGIMBAGPG
DPRMBAQDD,PGIMBAQDD
DPRMBADPD,PGIMBADPD
DPRMBBD1G,PGIMBBD1G
DPRMBBGPG,PGIMBBGPG
DPRMBBQDD,PGIMBBQDD
DPRMBBDPD,PGIMBBDPD
DPRMBCD1G,PGIMBCD1G
DPRMBCD2S,PGIMBCD2S
DPRMBCGPG,PGIMBCGPG
DPRMBCQDD,PGIMBCQDD
DPRMBCDPD,PGIMBCDPD
DPRMBED1G,PGIMBED1G
DPRMBEGPG,PGIMBEGPG
DPRMBEQDD,PGIMBEQDD
DPRMBEDPD,PGIMBEDPD
DWSLCFS2DD,PGIMC6D2D
DWSLCFS2DG,PGIMC6D1G
DWSLCFS2RD,PGIMC6DPD
DWSLCFS2RG,PGIMC6GPG
MERCK,PGHL
RJL,RGL
MODILUFT,SPICEJET
PRAKASHCON,SETUINFRA
TATAGLOBAL,TATACONSUM
BHUSANSTL,TATASTLBSL
TATASPONGE,TATASTLLP
SAKETH,TEMBO
SUREVIN,WEWIN
NOVARTIS,NOVARTIND
